Kernel,Threads,Iteration,Actual,Reported
dgemm,2,0,4.6899,0.425164
dgemm,3,0,3.0581,0.27686
dgemm,4,0,2.2718,0.205478
dgemm,5,0,1.8901,0.170597
dgemm,6,0,1.6354,0.147678
dgemm,7,0,1.4978,0.135056
dgemm,8,0,1.2395,0.1116
dgemm,9,0,2.4429,0.221221
dgemm,10,0,2.3285,0.210737
dgemm,11,0,1.9562,0.176621
dgemm,12,0,1.9514,0.176426
dgemm,13,0,1.8352,0.165877
dgemm,14,0,1.8370,0.166077
dgemm,15,0,1.4689,0.132617
dgemm,2,0,4.5033,0.408113
dgemm,3,0,3.1104,0.281684
dgemm,4,0,2.2621,0.204558
dgemm,5,0,1.9406,0.175294
dgemm,6,0,1.6337,0.147164
dgemm,7,0,1.4700,0.132678
dgemm,8,0,1.2490,0.110691
dgemm,9,0,2.4444,0.221354
dgemm,10,0,2.3290,0.210761
dgemm,11,0,1.9550,0.176785
dgemm,12,0,1.9518,0.176566
dgemm,13,0,1.8430,0.166048
dgemm,14,0,1.8368,0.166058
dgemm,15,0,1.4680,0.132486
