Kernel,Threads,Iteration,Actual,Reported
dgemm,2,0,14.348,1.3005
dgemm,4,0,7.218,0.6529
dgemm,6,0,5.279,0.4734
dgemm,8,0,4.080,0.3626
dgemm,10,0,5.128,0.4609
dgemm,12,0,5.000,0.4499
dgemm,14,0,5.477,0.4907
dgemm,16,0,5.717,0.458
dgemm,18,0,4.608,0.3717
dgemm,20,0,4.608,0.3697
dgemm,22,0,3.961,0.3109
dgemm,24,0,4.005,0.3166
dgemm,26,0,3.973,0.3142
dgemm,28,0,4.001,0.3124
dgemm,30,0,3.973,0.3117
dgemm,2,0,14.3860,1.3009
dgemm,4,0,7.1880,0.6498
dgemm,6,0,5.2870,0.4769
dgemm,8,0,3.9500,0.3556
dgemm,10,0,4.8850,0.4409
dgemm,12,0,5.1280,0.4596
dgemm,14,0,5.4290,0.4915
dgemm,16,0,5.4470,0.4465
dgemm,18,0,4.5760,0.3699
dgemm,20,0,4.5690,0.3707
dgemm,22,0,3.9170,0.3107
dgemm,24,0,3.9320,0.3105
dgemm,26,0,3.9440,0.3104
dgemm,28,0,3.9430,0.3104
dgemm,30,0,3.9550,0.3107
