Threads,Iteration,Actual,Reported
2,0,0.37023258209228516,0.36
2,1,0.3505723476409912,0.34
2,2,0.3503410816192627,0.34
3,0,0.2671992778778076,0.26
3,1,0.2751784324645996,0.27
3,2,0.26601481437683105,0.26
4,0,0.23967432975769043,0.23
4,1,0.24115657806396484,0.23
4,2,0.24082326889038086,0.23
5,0,0.21595525741577148,0.2
5,1,0.22725701332092285,0.21
5,2,0.22873878479003906,0.22
6,0,0.21334266662597656,0.2
6,1,0.2121753692626953,0.2
6,2,0.206343412399292,0.2
7,0,0.20700287818908691,0.2
7,1,0.20575952529907227,0.2
7,2,0.19437861442565918,0.18
8,0,0.19902300834655762,0.19
8,1,0.19862985610961914,0.19
8,2,0.19856524467468262,0.19
9,0,0.20982074737548828,0.2
9,1,0.20981669425964355,0.2
9,2,0.21294641494750977,0.2
10,0,0.20328712463378906,0.19
10,1,0.20968389511108398,0.2
10,2,0.19840764999389648,0.19
11,0,0.2057971954345703,0.19
11,1,0.24246788024902344,0.23
11,2,0.23678159713745117,0.23
12,0,0.23070096969604492,0.22
12,1,0.2377002239227295,0.23
12,2,0.20853137969970703,0.2
13,0,0.2561378479003906,0.25
13,1,0.2163677215576172,0.21
13,2,0.2082052230834961,0.2
14,0,0.21975445747375488,0.21
14,1,0.24257373809814453,0.23
14,2,0.26056766510009766,0.25
15,0,0.22995400428771973,0.22
15,1,0.22232294082641602,0.21
15,2,0.21500015258789062,0.21
