Threads,Iteration,Actual,Reported
2,0,1.808,1.7
4,0,2.486,2.4
6,0,3.53,3.4
8,0,4.489,4.4
10,0,6.584,6.5
12,0,7.469,7.4
14,0,8.742,8.7
16,0,66.854,67
18,0,65.898,66
20,0,68.664,69
22,0,70.578,70
24,0,73.732,74
26,0,79.34,79
28,0,79.619,80
30,0,85.253,85
2,0,2.093,1.7
2,1,2.288,1.9
2,2,1.758,1.7
4,0,3.266,2.9
4,1,2.56,2.5
4,2,2.966,2.9
6,0,4.2,4.1
6,1,3.78,3.7
6,2,4.283,4.2
8,0,5.113,5
8,1,4.574,4.5
8,2,4.511,4.4
10,0,6.418,6.3
10,1,6.484,6.4
10,2,6.278,6.2
12,0,8.099,8
12,1,7.534,7.5
12,2,8.023,7.9
14,0,9.914,9.8
14,1,8.531,8.5
14,2,9.057,9
16,0,67.588,68
16,1,70.075,70
16,2,69.545,69
18,0,69.602,70
18,1,68.227,68
18,2,70.178,70
20,0,75.286,75
20,1,73.173,73
20,2,71.265,71
22,0,76.091,76
22,1,76.012,76
22,2,71.96,72
24,0,77.88,78
24,1,75.77,76
24,2,77.849,78
26,0,81.213,81
26,1,82.547,82
26,2,82.409,82
28,0,84.537,84
28,1,83.155,83
28,2,82.791,83
30,0,85.869,86
30,1,88.417,88
30,2,84.116,84
